Date,Shock (UTC),Vacuum Trigger,Δt (sec),Penalty (BPS),Loss (SEK),Detected
2014-02-13,08:30:00,08:27:52.728,127.272,3.06,306.28,true
2014-04-09,07:30:00,07:27:37.703,142.297,0.94,94.31,true
2014-07-03,07:30:00,07:29:20.308,39.692,-1.17,-117.39,true
2014-09-04,07:30:00,No Trigger,0,0,0,false
2014-10-28,08:30:00,No Trigger,0,0,0,false
2014-12-16,08:30:00,No Trigger,0,0,0,false
2015-02-12,08:30:00,08:29:17.288,42.712,3.88,388.31,true
2015-04-29,07:30:00,07:25:28.305,271.695,0.56,55.66,true
2015-07-02,07:30:00,07:28:17.364,102.636,2.29,229.04,true
2015-09-03,07:30:00,No Trigger,0,0,0,false
2015-10-28,08:30:00,08:29:15.991,44.009,10.87,1086.76,true
2015-12-15,08:30:00,No Trigger,0,0,0,false
2016-02-11,08:30:00,08:29:31.016,28.984,14.65,1464.77,true
2016-04-21,07:30:00,07:28:43.639,76.361,7.28,727.73,true
2016-07-06,07:30:00,07:29:30.230,29.77,4.55,455.26,true
2016-09-07,07:30:00,07:29:19.514,40.486,5.19,519.16,true
2016-10-27,08:30:00,No Trigger,0,0,0,false
2016-12-21,08:30:00,08:29:44.755,15.245,1.5,149.69,true
2017-02-15,08:30:00,No Trigger,0,0,0,false
2017-04-27,07:30:00,No Trigger,0,0,0,false
2017-07-04,07:30:00,07:29:49.621,10.379,4.93,492.69,true
2017-09-07,07:30:00,07:29:27.092,32.908,5.26,525.53,true
2017-10-26,08:30:00,No Trigger,0,0,0,false
2017-12-20,08:30:00,08:26:52.842,187.158,1.33,132.96,true
2018-02-14,08:30:00,08:29:00.156,59.844,6.87,686.99,true
2018-04-26,07:30:00,07:29:32.613,27.387,1.72,171.73,true
2018-07-03,07:30:00,No Trigger,0,0,0,false
2018-09-06,07:30:00,07:29:07.851,52.149,1.72,172.23,true
2018-10-24,08:30:00,No Trigger,0,0,0,false
2018-12-20,08:30:00,08:27:30.816,149.184,-11.12,-1111.69,true
2019-02-13,08:30:00,08:28:53.308,66.692,2.33,233.14,true
2019-04-25,07:30:00,07:26:05.179,234.821,2.94,293.9,true
2019-07-03,07:30:00,07:29:57.328,2.672,12.76,1275.92,true
2019-09-05,07:30:00,07:29:00.992,59.008,2.91,291.3,true
2019-10-24,08:30:00,No Trigger,0,0,0,false
2019-12-19,08:30:00,08:29:20.413,39.587,9.15,914.78,true
2020-11-26,08:30:00,08:29:24.967,35.033,0.45,45.45,true
2021-02-10,08:30:00,No Trigger,0,0,0,false
2021-04-27,07:30:00,07:27:38.383,141.617,9.5,949.95,true
2021-07-01,07:30:00,No Trigger,0,0,0,false
2021-09-21,07:30:00,No Trigger,0,0,0,false
2021-11-25,08:30:00,08:29:18.702,41.298,15.61,1560.9,true
2022-02-10,08:30:00,No Trigger,0,0,0,false
2022-04-28,07:30:00,07:27:30.520,149.48,4.21,420.89,true
2022-06-30,07:30:00,07:27:15.076,164.924,4.48,447.63,true
2022-09-20,07:30:00,07:29:37.838,22.162,4.16,416.22,true
2022-11-24,08:30:00,08:26:39.068,200.932,1.39,138.96,true
2023-02-09,08:30:00,08:29:59.666,0.334,2.67,267.24,true
2023-04-26,07:30:00,07:27:18.652,161.348,3.33,333.4,true
2023-06-29,07:30:00,07:28:43.886,76.114,0.04,3.7,true
2023-09-21,07:30:00,07:28:26.220,93.78,0.78,78.1,true
2023-11-23,08:30:00,08:27:04.150,175.85,2.41,241.07,true
2024-02-01,08:30:00,08:29:28.301,31.699,9.29,928.77,true
2024-05-08,07:30:00,07:27:40.485,139.515,2.24,224.26,true
2024-06-27,07:30:00,07:28:26.361,93.639,1.6,159.79,true
2024-08-20,07:30:00,07:25:16.311,283.689,0.37,37.24,true
2024-09-25,07:30:00,07:27:54.367,125.633,2.94,293.86,true
2024-11-07,08:30:00,08:28:00.801,119.199,4.28,428.39,true
2024-12-19,08:30:00,No Trigger,0,0,0,false
2025-02-06,08:30:00,No Trigger,0,0,0,false
2025-03-27,07:30:00,No Trigger,0,0,0,false
2025-05-14,07:30:00,No Trigger,0,0,0,false
2025-06-24,07:30:00,07:29:05.730,54.27,3.47,346.79,true
2025-08-20,07:30:00,07:29:18.510,41.49,1.79,179.27,true
2025-09-25,07:30:00,No Trigger,0,0,0,false
2025-11-06,08:30:00,No Trigger,0,0,0,false
2025-12-18,08:30:00,No Trigger,0,0,0,false
2026-02-05,08:30:00,No Trigger,0,0,0,false
2026-03-26,07:30:00,No Trigger,0,0,0,false
