Date,Shock (UTC),Vacuum Trigger,Δt (sec),Penalty (BPS),Loss (SEK),Detected,EURNOK_Penalty_BPS,Actual_Rate,Previous_Rate,Policy_Surprise
2014-02-13 00:00:00,08:30:00,08:27:52.728,127.272,3.06,306.28,True,,0.75,0.75,0.0
2014-04-09 00:00:00,07:30:00,07:27:37.703,142.297,0.94,94.31,True,,0.75,0.75,0.0
2014-07-03 08:30:00,07:30:00,07:29:20.308,39.692,-1.17,-117.39,True,1.305324489766723,0.25,0.75,0.5
2014-09-04 08:30:00,07:30:00,No Trigger,0.0,0.0,0.0,False,1.658863839264874,0.25,0.25,0.0
2014-10-28 08:30:00,08:30:00,No Trigger,0.0,0.0,0.0,False,1.2693205569471966,0.0,0.25,0.25
2014-12-16 08:30:00,08:30:00,No Trigger,0.0,0.0,0.0,False,0.7941724752901983,0.0,0.0,0.0
2015-02-12 08:30:00,08:30:00,08:29:17.288,42.712,3.88,388.31,True,1.7051647020735374,-0.1,0.0,0.1
2015-04-29 08:30:00,07:30:00,07:25:28.305,271.695,0.56,55.66,True,5.319026785555108,-0.25,-0.25,0.0
2015-07-02 08:30:00,07:30:00,07:28:17.364,102.636,2.29,229.04,True,6.771430221833898,-0.35,-0.25,0.09999999999999998
2015-09-03 08:30:00,07:30:00,No Trigger,0.0,0.0,0.0,False,4.275223621581084,-0.35,-0.35,0.0
2015-10-28 08:30:00,08:30:00,08:29:15.991,44.009,10.87,1086.76,True,0.9483701581420696,-0.35,-0.35,0.0
2015-12-15 09:30:00,08:30:00,No Trigger,0.0,0.0,0.0,False,15.261823039491162,-0.35,-0.35,0.0
2016-02-11 08:30:00,08:30:00,08:29:31.016,28.984,14.65,1464.77,True,2.986843842899493,-0.5,-0.35,0.15000000000000002
2016-04-21 08:30:00,07:30:00,07:28:43.639,76.361,7.28,727.73,True,2.722858334482256,-0.5,-0.5,0.0
2016-07-06 08:30:00,07:30:00,07:29:30.230,29.77,4.55,455.26,True,2.403890384896203,-0.5,-0.5,0.0
2016-09-07 08:30:00,07:30:00,07:29:19.514,40.486,5.19,519.16,True,4.560256293529645,-0.5,-0.5,0.0
2016-10-27 08:30:00,08:30:00,No Trigger,0.0,0.0,0.0,False,2.853551537051354,-0.5,-0.5,0.0
2016-12-21 08:30:00,08:30:00,08:29:44.755,15.245,1.5,149.69,True,1.4935770414577885,-0.5,-0.5,0.0
2017-02-15 08:30:00,08:30:00,No Trigger,0.0,0.0,0.0,False,1.5154108717081087,-0.5,-0.5,0.0
2017-04-27 08:30:00,07:30:00,No Trigger,0.0,0.0,0.0,False,7.652309131123262,-0.5,-0.5,0.0
2017-07-04 08:30:00,07:30:00,07:29:49.621,10.379,4.93,492.69,True,1.8648844989342208,-0.5,-0.5,0.0
2017-09-07 08:30:00,07:30:00,07:29:27.092,32.908,5.26,525.53,True,-1.007339713087204,-0.5,-0.5,0.0
2017-10-26 08:30:00,08:30:00,No Trigger,0.0,0.0,0.0,False,0.0764930875598845,-0.5,-0.5,0.0
2017-12-20 08:30:00,08:30:00,08:26:52.842,187.158,1.33,132.96,True,0.8609817591855805,-0.5,-0.5,0.0
2018-02-14 08:30:00,08:30:00,08:29:00.156,59.844,6.87,686.99,True,0.464699088759912,-0.5,-0.5,0.0
2018-04-26 08:30:00,07:30:00,07:29:32.613,27.387,1.72,171.73,True,0.7520289381920142,-0.5,-0.5,0.0
2018-07-03 08:30:00,07:30:00,No Trigger,0.0,0.0,0.0,False,-0.4135141227127493,-0.5,-0.5,0.0
2018-09-06 08:30:00,07:30:00,07:29:07.851,52.149,1.72,172.23,True,2.606985964955925,-0.5,-0.5,0.0
2018-10-24 08:30:00,08:30:00,No Trigger,0.0,0.0,0.0,False,5.213101691475927,-0.5,-0.5,0.0
2018-12-20 08:30:00,08:30:00,08:27:30.816,149.184,-11.12,-1111.69,True,1.097009669680283,-0.25,-0.5,0.25
2019-02-13 08:30:00,08:30:00,08:28:53.308,66.692,2.33,233.14,True,0.9661855056441134,-0.25,-0.25,0.0
2019-04-25 08:30:00,07:30:00,07:26:05.179,234.821,2.94,293.9,True,-0.2208928283677129,-0.25,-0.25,0.0
2019-07-03 08:30:00,07:30:00,07:29:57.328,2.672,12.76,1275.92,True,0.4789567699428099,-0.25,-0.25,0.0
